keyword,sentances
Aurora,"She was a talented singer, and after graduating high school in Aurora she enrolled at Denver Community College to study music."
Aurora,Aurora Snow canvassed the adult industry to see which television shows excite its XXX talent.
Aurora,How did it come to be then that she would feel an affinity for Aurora and start to care for her?
Aurora,Clevenger sounds little better than he did 10 years ago in a letter to the editor in the Aurora Advertiser.
Aurora,Editor's Note: An earlier version of this article said Miller was from Marrionville but he lived in neighboring Aurora.
Aurora,"The moon seemed to smile on him; the Aurora appeared to dance with unwonted vigour, as if in glee; the very stars winked at him!"
Aurora,"The storm, however, was over; the moon and stars were shining in a clear sky, and the Aurora was dancing merrily."
Aurora,"Thus also Mary, the spiritual Aurora, had to be conceived and born before the appearance of the Sun of Justice in this world."
Aurora,"Trying to fathom the abyss below them, he saw the flames of the Aurora borealis reflected in the water of an immense lake."
Aurora,It is impossible to describe here the various experiences and doings of Aurora.
Chatoyant,"The chatoyant eyes of the leopard stared back, a flicker of restlessness in their brilliant yellow deeps."
Chatoyant,"Cymophane, or chatoyant chrysoberyl, may also be asteriated."
Chatoyant,She invariably wore gloves out of doors and a veil to conceal the chatoyant eyes.
Chatoyant,"There was a river there too; not a little bolt of chatoyant silk like the Avon, which they would have called a ""crick"" back there."
Demure,"His reviews, rightly, call him “sweet,” “demure,”  “easygoing.”"
Demure,The cover was relatively demure given more recent issues and seemed to signal a turning point for the softcore sex magazine.
Demure,"Kate wore one of her trusty stand-bys, a full-length LK Bennet coat, in red, natch, and demure black heels."
Demure,"Trim and demure, she is, for one thing, seemingly an eighth of his size."
Demure,"Chris was brilliant, deferential, even demure, full of conviction."
Demure,"On the other hand, Vera Galloway was transformed into a demure-looking shop assistant waiting a customers' orders."
Demure,"What scenes, what tragedies, what comedies, those bright houses and demure little villas concealed."
Demure,"You never saw a more demure, harmless and even helpless looking bit of a thing in your life."
Demure,"Father Letheby, at the end of the table, looked as demure as a nun."
Demure,"We little thought what you were up to, so grave and demure as you both were."
Denouement,"For anyone who cared to watch, the event and its denouement provided a graphic demonstration that the Iron Curtain was crumbling."
Denouement,The bloody denouement his wife had dreaded had come to pass.
Denouement,The denouement itself appropriates the theme of the huntsman who spares the child he is obliged to kill.
Denouement,So says the reawakened Duke Orsino at the denouement of Twelfth Night.
Denouement,It is hardly a shocking denouement to a relationship that seemed doomed virtually from the start.
Denouement,"The denouement of his history was a tragic one, and had come a few days before the time when our narrative opens."
Denouement,"The plot becomes more intense and tragic, as it approaches toward the denouement."
Denouement,The hour had now come for the denouement of that home tragedy which was being enacted in the Rue St. Gilles.
Denouement,Our best plan is to remain silent and wait for the denouement.
Denouement,Then came the denouement; the marriage arranged for him had been a mockery.
Effervescent,"The 28-year-old Sciortino is something of a hipster Jayne Mansfield—busty, unnaturally blonde, and calculatingly effervescent."
Effervescent,"In our interview, Moreno is effervescent and irreverent, with a genuine gift of the gab."
Effervescent,"Who was that bubbly, effervescent redhead hosting ‘Chelsea Lately’ on Monday night?"
Effervescent,"According to the latest article by Israeli Ambassador Michael Oren, Israeli democracy is “more robust and effervescent than ever.”"
Effervescent,"In contrast to the seriousness and heavy-handedness of late-era Idol, X Factor feels positively effervescent."
Effervescent,"Perhaps, as men get older, the effervescent elation of youth leaves them; but they are none the less happy."
Effervescent,"All three were fond of talking, and had many callers who liked to hear the feebly effervescent news of Wellwood."
Effervescent,"His style has a certain effervescent quality, but, for all that, the tragic developments of the story are not shirked."
Effervescent,Forbes was in a champagne humor; his soul seemed to be effervescent with little bubbles of joy.
Effervescent,His presence acted as a check upon the experimental tendencies of the more effervescent of his subjects.
Elegance,"There is something about a firefight at night, something about the mechanical elegance of an M-60 machine gun."
Elegance,"He would have probably done both in much the same way: with elegance and restraint, yet radically."
Elegance,"This Palmer stands for elegance and sophistication: the embodiment of natural gifts, both athletic and personal."
Elegance,"Bratis, who trained in Athens, creates pieces of “femininity and pure elegance without artifice.”"
Elegance,"England was almost as good, if mostly in the elegance of their defense."
Elegance,"She is always attired in black, and is utterly careless in dress, yet nothing can conceal her innate elegance of figure."
Elegance,"After all she, Hilda, possessed some mysterious characteristic more potent than the elegance and the goodness of Janet Orgreave."
Elegance,"He was distinguished for personal courage, as well as taste for elegance and splendor, whence he was called the munificent."
Elegance,"He wrote verses with elegance in French, Spanish and Italian, and was a polisher of his native language in a barbarous age."
Elegance,The elegance of his stature and the pensive melancholy of his classic features invested him with a peculiar power of fascination.
Elixir,"Football “is what Plato calls a pharmakon, a poison and an elixir,” he writes."
Elixir,And the rising star still standing just might be in the best position to offer some elixir to our deeply ailing political system.
Elixir,Only she can make hetersoexuality sound like a life-saving elixir that I need to inject directly into my veins.
Elixir,"My wife had a very deadly form of cancer, and his story was a powerful elixir that helped us get through it."
Elixir,"How a 1,000-year-old fragrant elixir traveled over continents and time to become the signature drink of the Kentucky Derby."
Elixir,"He is seeking the elixir of long life, for which superior minds have been seeking these two thousand years."
Elixir,"Your elixir will not prevent a chimney falling on a man, a bullet going clear through him, or a horse kicking his skull open?"
Elixir,I gave him the precious elixir which my mother alone on earth could draw from roots such as no eye of man has ever seen.
Elixir,"Sanatogen, the new elixir of life compounded of casein and glycerophosphates, has been noticed in The Journal from time to time."
Elixir,"The result was that our friend sent to Kansas for the ""elixir of Life."""
Eloquence,"Wall Street Journal: “Begley has a great many strengths—concision, eloquence, an eagle eye—and few of the usual shortcomings.”"
Eloquence,"And Young, once again with admirable eloquence, stands by it."
Eloquence,"As sometime Davos attendee Bill Clinton once said, “Explanation is eloquence.”"
Eloquence,"He turned his trial into an indictment of apartheid because of his eloquence and passion, but also his training as an advocate."
Eloquence,"In his speech, Obama provided some evidence that he plans to lead with action—not merely eloquence."
Eloquence,"Thomas Cooper, an English prelate, died; highly commended for his great learning and eloquence."
Eloquence,"He said no more in words, but his little blue eyes had an eloquence that left nothing to mere speech."
Eloquence,"He was the friend of Descartes, and a philosopher; distinguished for his eloquence and as an author."
Eloquence,"He warmly espoused the interests of his country, and many important measures were effected by his eloquence."
Eloquence,"But our eloquence accomplished p. 107little—some small modification regarding mixed trains, and that was all."
Ephemeral,"Following an all too predictable cycle of the hyperactive 21st century, focus on the explosion was ephemeral."
Ephemeral,"Whatever his approval ratings, the Russian leader knows how ephemeral they can be."
Ephemeral,"Most news articles were just as ephemeral, but it has become harder to pretend."
Ephemeral,"It may all be ephemeral, because most of politics is ephemeral, a cynical means to the end of getting elected."
Ephemeral,"But as stimulus goes, the I-stimulus strikes me as a pretty narcissistic and ephemeral one."
Ephemeral,"Do not suppose that I mean to recommend poor music, or feeble, ephemeral compositions."
Ephemeral,"The Widow Lawton ornamented her kitchen floor in a manner as ephemeral, though less expensive."
Ephemeral,"Another ephemeral paper, L'Italia del Popolo, was launched on its short career."
Ephemeral,"They were, no doubt, chiefly of a pantomimic and ephemeral kind."
Ephemeral,"But like all dunghill products, the life of these was ephemeral."
Epiphany,Richard Kurin was a 19-year-old anthropology student in India when he experienced his material culture epiphany.
Epiphany,"Zaks experienced an epiphany of sorts a couple years ago, when he was looking through a book of Tony Walton illustrations."
Epiphany,"While watching The Ten Commandments on TV with their children for the umpteenth time, Burnett and Downey had an epiphany."
Epiphany,"This was an epiphany, this was imprinted on you, you could do anything now."
Epiphany,"The teenager went to rehab, and then went right back to using—until he had an epiphany."
Epiphany,"Their escape was made at midnight on the eve of epiphany, 1649, all the court following in great disorder."
Epiphany,"Neophytes should therefore be baptized at Easter and Pentecost alone, never at epiphany."
Epiphany,"So careful is the poet to prepare both sides—the divine epiphany, and the mortal who is to behold it."
Epiphany,He thought the lessons of the Nativity and epiphany came as a very wholesome corrective to these tendencies.
Epiphany,"There is nothing of him now in Florence, save a few drawings in the Uffizi and an unfinished picture of the epiphany."
Eternity,"After what seemed a desperate eternity, a doctor shook his head."
Eternity,"The Newsroom aired its final episode on Sunday, already an eternity ago in news-cycle terms."
Eternity,"He rests lavishly, depicted in a marble sarcophagus that stares up for eternity at the carved depictions of his life story."
Eternity,"But this is also a parody of narcissism, just a little detour to eternity."
Eternity,"Finally, after an eternity—lasting maybe two seconds—I did what I usually do when faced with fear squatting in my stomach."
Eternity,"The blessings of time and eternity constitute the part of the promise offered to believers, through Christ."
Eternity,One instant in all eternity would have made just the difference between life and death to you.
Eternity,"He who wrongs a fellow-creature wrongs himself as well, and wrongs both for all eternity."
Eternity,"At the close of the supper he filled his glass, and rising, proposed to drink to the eternity of the Republic."
Eternity,An eternity did it seem before those men returned and marched once more over his head.
Ethereal,"Bitcoin began 2013 with a roaring price of $770 per unit, and businesses right and left were converting to the ethereal product."
Ethereal,But when modern-day conservationists surveyed the offshore rocks they discovered something even more ethereal lurking within.
Ethereal,One skeleton in particular has become famous for the brutal way she died and the ethereal way her body was preserved.
Ethereal,"C, lastly, I just think [Perritaz] has a natural taste for purity, delicacy, and ethereal balance."
Ethereal,"I remember telling people at the time, ‘This kid is so ethereal and interesting.’"
Ethereal,"Her white face looked ethereal in the moonlight, and her bloodless lips were quivering with returning life."
Ethereal,"It may be applied directly to a suspected fluid, or, better, to the ethereal extract."
Ethereal,"Madame Colleville was a Parisian, piquant, winning and pretty, as well as clever and ethereal."
Ethereal,"Again he sat in the soft darkness, before the ghostly glimmer of the silk, tracing upon it visions of ethereal light."
Ethereal,See the ideal and ethereal being whom you have been so faithfully impersonating all the afternoon!
Euphoria,"“She was tireless and often seemed in a state of euphoria,” Pausini told police, according to the documents."
Euphoria,But her euphoria evaporates when she realizes he is simply trying to pretend she is a man.
Euphoria,"“I feel absolutely clean inside, and there is nothing but pure euphoria,” wrote Shulgin in his journals."
Euphoria,"Then, the post-euphoria realization: “I need to get to the gym.”"
Euphoria,"In the years since, it has become harder to maintain the euphoria of those early months of the Arab uprisings."
Euphoria,Everyone roughly within a radius of fifty feet—I've checked the limit a thousand times—immediately feels a sort of euphoria.
