keyword,sentances,translation
Aurora,"She was a talented singer, and after graduating high school in [Aurora] she enrolled at Denver Community College to study music.","Dheweke dadi penyanyi sing bakat, lan sawise lulus SMA ing [Aurora] dheweke mlebu ing Denver Community College kanggo sinau musik."
Aurora,[Aurora] Snow canvassed the adult industry to see which television shows excite its XXX talent.,[Aurora] Salju ngawasi industri diwasa kanggo ndeleng acara televisi sing nyenengake bakat XXX.
Aurora,How did it come to be then that she would feel an affinity for [Aurora] and start to care for her?,Kepiye carane dheweke bakal ngrasakake afinitas karo [Aurora] lan wiwit ngrawat dheweke?
Aurora,Clevenger sounds little better than he did 10 years ago in a letter to the editor in the [Aurora] Advertiser.,Clevenger muni luwih apik tinimbang 10 taun kepungkur ing surat menyang editor ing [Aurora] Pengiklan.
Aurora,Editor's Note: An earlier version of this article said Miller was from Marrionville but he lived in neighboring [Aurora].,Cathetan Editor: Versi sadurungé saka artikel iki ngandika Miller saka Marrionville nanging dheweke manggon ing tetanggan [Aurora].
Aurora,"The moon seemed to smile on him; the [Aurora] appeared to dance with unwonted vigour, as if in glee; the very stars winked at him!","Rembulan katon mesem marang dheweke; [Aurora] katon nari kanthi semangat sing ora biasa, kaya-kaya bungah; lintang banget nglirik dheweke!"
Aurora,"The storm, however, was over; the moon and stars were shining in a clear sky, and the [Aurora] was dancing merrily.","Badai, Nanging, wis liwat; rembulan lan lintang padha sumunar ing langit kang padhang, lan [Aurora] njoget riang."
Aurora,"Thus also Mary, the spiritual [Aurora], had to be conceived and born before the appearance of the Sun of Justice in this world.","Mangkono uga Maria, [Aurora] spiritual, kudu dikandung lan lair sadurunge katon Srengenge Kehakiman ing jagad iki."
Aurora,"Trying to fathom the abyss below them, he saw the flames of the [Aurora] borealis reflected in the water of an immense lake.","Nyoba ngerteni jurang ing ngisor dheweke, dheweke weruh geni saka [Aurora] borealis sing katon ing banyu tlaga sing gedhe banget."
Aurora,It is impossible to describe here the various experiences and doings of [Aurora].,Ora bisa digambarake ing kene macem-macem pengalaman lan tumindak [Aurora].
Chatoyant,"The [Chatoyant] eyes of the leopard stared back, a flicker of restlessness in their brilliant yellow deeps.","Mripat macan tutul [Chatoyant] mandeng mburi, kelip-kelip gelisah ing jerone kuning sing padhang."
Chatoyant,"Cymophane, or [Chatoyant] chrysoberyl, may also be asteriated.","Cymophane, utawa [Chatoyant] chrysoberyl, bisa uga asterasi."
Chatoyant,She invariably wore gloves out of doors and a veil to conceal the [Chatoyant] eyes.,Dheweke tansah nganggo sarung tangan metu saka lawang lan kudung kanggo ndhelikake mata [Chatoyant].
Chatoyant,"There was a river there too; not a little bolt of [Chatoyant] silk like the Avon, which they would have called a ""crick"" back there.","Ing kono uga ana kali; ora bolt sethitik saka [Chatoyant] sutra kaya Avon, kang padha bakal disebut ""crick"" bali ana."
Demure,"His reviews, rightly, call him “sweet,” “[Demure],”  “easygoing.”","Ulasan dheweke, kanthi bener, nyebut dheweke ""manis,"" ""[Demure],""  ""gampang""."
Demure,The cover was relatively [Demure] given more recent issues and seemed to signal a turning point for the softcore sex magazine.,Sampul kasebut relatif [Demure] diwenehi masalah sing luwih anyar lan katon minangka tandha titik balik kanggo majalah seks softcore.
Demure,"Kate wore one of her trusty stand-bys, a full-length LK Bennet coat, in red, natch, and [Demure] black heels.","Kate nganggo salah sijine stand-by sing dipercaya, jas LK Bennet lengkap, nganggo sepatu hak ireng abang, natch, lan [Demure]."
Demure,"Trim and [Demure], she is, for one thing, seemingly an eighth of his size.","Trim lan [Demure], dheweke, siji-sijine, kayane ukurane kaping wolu."
Demure,"Chris was brilliant, deferential, even [Demure], full of conviction.","Chris sarwa, deferential, malah [Demure], kebak bebendhu."
Demure,"On the other hand, Vera Galloway was transformed into a [Demure]-looking shop assistant waiting a customers' orders.","Ing tangan liyane, Vera Galloway iki rubah menyang [Demure]-looking asisten toko nunggu pesenan pelanggan."
Demure,"What scenes, what tragedies, what comedies, those bright houses and [Demure] little villas concealed.","Pemandangan apa, tragedi apa, komedi apa, omah-omah sing padhang lan vila-vila cilik [Demure] sing didhelikake."
Demure,"You never saw a more [Demure], harmless and even helpless looking bit of a thing in your life.","Sampeyan ora tau weruh sing luwih [Demure], ora mbebayani lan malah ora duwe daya ing urip sampeyan."
Demure,"Father Letheby, at the end of the table, looked as [Demure] as a nun.","Rama Letheby, ing mburi meja, katon minangka [Demure] minangka biarawati."
Demure,"We little thought what you were up to, so grave and [Demure] as you both were.","Kita ora mikir apa sing sampeyan lakoni, dadi kuburan lan [Demure] kaya sampeyan."
Denouement,"For anyone who cared to watch, the event and its [Denouement] provided a graphic demonstration that the Iron Curtain was crumbling.","Kanggo sapa waé sing kepéngin nonton, acara lan [Denouement] nyedhiyakake demonstrasi grafis manawa Tirai Wesi ambruk."
Denouement,The bloody [Denouement] his wife had dreaded had come to pass.,Getih [Denouement] bojone sing diwedeni wis kelakon.
Denouement,The [Denouement] itself appropriates the theme of the huntsman who spares the child he is obliged to kill.,[Denouement] dhewe cocog karo tema pemburu sing nylametake bocah sing kudu dipateni.
Denouement,So says the reawakened Duke Orsino at the [Denouement] of Twelfth Night.,Mangkene pangandikane Adipati Orsino sing wis tangi maneh ing [Denouement] Wengi Rolas.
Denouement,It is hardly a shocking [Denouement] to a relationship that seemed doomed virtually from the start.,Iku meh ora ngageti [Denouement] kanggo sesambetan sing ketoke pinasthi sakbenere saka wiwitan.
Denouement,"The [Denouement] of his history was a tragic one, and had come a few days before the time when our narrative opens.","[Denouement] saka sajarah iku tragis, lan wis teka sawetara dina sadurunge wektu nalika narasi kita mbukak."
Denouement,"The plot becomes more intense and tragic, as it approaches toward the [Denouement].","Plot dadi luwih kuat lan tragis, amarga nyedhaki [Denouement]."
Denouement,The hour had now come for the [Denouement] of that home tragedy which was being enacted in the Rue St. Gilles.,Jam saiki wis teka kanggo [Denouement] tragedi omah sing ditindakake ing Rue St. Gilles.
Denouement,Our best plan is to remain silent and wait for the [Denouement].,Rencana sing paling apik yaiku meneng lan ngenteni [Denouement].
Denouement,Then came the [Denouement]; the marriage arranged for him had been a mockery.,Banjur teka [Denouement]; marriage diatur kanggo wong wis mockery.
Effervescent,"The 28-year-old Sciortino is something of a hipster Jayne Mansfield—busty, unnaturally blonde, and calculatingly [Effervescent].","Sciortino 28 taun iku soko hipster Jayne Mansfield-dadi, unnaturally pirang, lan calculatingly [Effervescent]."
Effervescent,"In our interview, Moreno is [Effervescent] and irreverent, with a genuine gift of the gab.","Ing wawancara kita, Moreno [Effervescent] lan ora sopan, kanthi hadiah sing asli saka gab."
Effervescent,"Who was that bubbly, [Effervescent] redhead hosting ‘Chelsea Lately’ on Monday night?","Sapa sing bubbly, [Effervescent] rambut abang hosting 'Chelsea Akhir-akhir iki' ana wengi?"
Effervescent,"According to the latest article by Israeli Ambassador Michael Oren, Israeli democracy is “more robust and [Effervescent] than ever.”","Miturut artikel paling anyar dening Duta Besar Israel Michael Oren, demokrasi Israel ""luwih kuwat lan [Effervescent] tinimbang sadurunge."""
Effervescent,"In contrast to the seriousness and heavy-handedness of late-era Idol, X Factor feels positively [Effervescent].","Beda karo keseriusan lan abot tangan Idol jaman pungkasan, X Factor ngrasa positif [Effervescent]."
Effervescent,"Perhaps, as men get older, the [Effervescent] elation of youth leaves them; but they are none the less happy.","Mbok menawa, nalika wong lanang saya tuwa, [Effervescent] elation saka muda ninggalake wong; nanging padha senenge."
Effervescent,"All three were fond of talking, and had many callers who liked to hear the feebly [Effervescent] news of Wellwood.","Katelune padha seneng omong-omongan, lan akeh wong sing nelpon sing seneng ngrungokake kabar Wellwood."
Effervescent,"His style has a certain [Effervescent] quality, but, for all that, the tragic developments of the story are not shirked.","Gayane nduweni kualitas [Effervescent] tartamtu, nanging, kanggo kabeh, perkembangan tragis crita kasebut ora disiram."
Effervescent,Forbes was in a champagne humor; his soul seemed to be [Effervescent] with little bubbles of joy.,Forbes ana ing banyolan Sampanye; nyawa kang ketoke [Effervescent] karo umpluk sethitik saka bungah.
Effervescent,His presence acted as a check upon the experimental tendencies of the more [Effervescent] of his subjects.,Ngarsane tumindak minangka mriksa marang kecenderungan eksperimen sing luwih [Effervescent] saka subyek.
Elegance,"There is something about a firefight at night, something about the mechanical [Elegance] of an M-60 machine gun.","Ana bab firefight ing wayah wengi, soko babagan mechanical [Elegance] saka M-60 machine gun."
Elegance,"He would have probably done both in much the same way: with [Elegance] and restraint, yet radically.","Dheweke bisa uga nindakake kanthi cara sing padha: kanthi [Elegance] lan ngempet, nanging kanthi radikal."
