model,unfrozen_layers,pooling,f1,mean_f1,std_f1
w11wo/javanese-bert-small,0,CLS,"[0.6939941563268892, 0.6913466239117784, 0.6861914155184582, 0.679322992234095, 0.7038800484483984]",0.6909470472879239,0.008178529738427389
w11wo/javanese-bert-small,0,MLP,"[0.7664615736432568, 0.7853946360153256, 0.731908668532684, 0.7550831323534398, 0.7361328658465209]",0.7549961752782455,0.01971997336118112
w11wo/javanese-bert-small,1,CLS,"[0.7136113928329952, 0.7632554714692278, 0.7484741180213133, 0.7794896760569051, 0.7807253860318373]",0.7571112088824558,0.024750799797727832
w11wo/javanese-bert-small,1,MLP,"[0.7734959675073395, 0.7974564159866269, 0.7714723984614975, 0.7762410598977937, 0.6769940418727255]",0.7591319767451966,0.04211112431022934
w11wo/javanese-bert-small,2,CLS,"[0.5667213082762523, 0.7707538066099189, 0.6882977560728687, 0.7564663606930659, 0.5693211001980043]",0.670312066370022,0.08805090693185075
w11wo/javanese-bert-small,2,MLP,"[0.663426200545242, 0.5830070312828933, 0.5693211001980043, 0.7894135333778168, 0.5693211001980043]",0.6348977931203923,0.08483188137822771
w11wo/javanese-bert-small,3,CLS,"[0.5667213082762523, 0.5667213082762523, 0.5693211001980043, 0.5693211001980043, 0.5693211001980043]",0.5682811834293036,0.0012736327291404037
w11wo/javanese-bert-small,3,MLP,"[0.5667213082762523, 0.5667213082762523, 0.5693211001980043, 0.5693211001980043, 0.5693211001980043]",0.5682811834293036,0.0012736327291404037
w11wo/javanese-roberta-small,0,CLS,"[0.696625283278233, 0.6593058028888529, 0.6615616794376955, 0.714426656367792, 0.6862004532321535]",0.6836239750409454,0.02098854838609849
w11wo/javanese-roberta-small,0,MLP,"[0.775295128766722, 0.7332373439255032, 0.7175038142488996, 0.7648793390487262, 0.7472456161905225]",0.7476322484360747,0.020869989888456758
w11wo/javanese-roberta-small,1,CLS,"[0.7920343694919092, 0.743522509578544, 0.7441199135732579, 0.7857523015913617, 0.7511094237021392]",0.7633077035874424,0.021153744506837414
w11wo/javanese-roberta-small,1,MLP,"[0.7771945175685736, 0.774937919747164, 0.7668178543511769, 0.7720323961881059, 0.7862778345526814]",0.7754521044815403,0.006430264395901679
w11wo/javanese-roberta-small,2,CLS,"[0.7549191826669167, 0.7366790413514369, 0.7572606352517924, 0.7750343948940881, 0.7748339287486717]",0.7597454365825811,0.014303428928536569
w11wo/javanese-roberta-small,2,MLP,"[0.5667213082762523, 0.735798399819698, 0.7324829540805511, 0.6860440954391118, 0.5693211001980043]",0.6580735715627235,0.07560752941484891
w11wo/javanese-roberta-small,3,CLS,"[0.5667213082762523, 0.5667213082762523, 0.5693211001980043, 0.5693211001980043, 0.587457496778216]",0.5719084627453459,0.007860973123355654
w11wo/javanese-roberta-small,3,MLP,"[0.5667213082762523, 0.5667213082762523, 0.5693211001980043, 0.5693211001980043, 0.5693211001980043]",0.5682811834293036,0.0012736327291404037
